Libellé;1er trimestre 2013;2e trimestre 2013;3e trimestre 2013;4e trimestre 2013;1er trimestre 2014;2e trimestre 2014;3e trimestre 2014;4e trimestre 2014;1er trimestre 2015;2e trimestre 2015;3e trimestre 2015;4e trimestre 2015;1er trimestre 2016;2e trimestre 2016;3e trimestre 2016;4e trimestre 2016;1er trimestre 2017;2e trimestre 2017;;
Ensemble;54,7;56,6;58,2;53,4;56,1;57,2;58,1;52,7;55,8;58,6;59,5;55,2;59,6;59,0;56,0;52,5;55,8;59,5;;
Âge à l'entrée de la formation;;;;;;;;;;;;;;;;;;;;
Moins de 25 ans;59,7;62,0;62,2;59,6;60,5;62,1;62,9;57,5;59,7;62,7;62,6;57,7;62,6;64,7;61,9;59,3;61,6;66,3;;
25-29 ans;60,0;60,8;61,2;58,7;60,9;61,8;60,7;57,4;59,3;62,6;61,7;58,9;62,0;63,2;60,6;57,8;60,6;64,2;;
30-39 ans;55,8;57,0;58,5;54,4;56,1;57,7;58,4;54,6;56,6;59,1;59,9;57,1;60,3;60,2;57,4;54,7;57,0;60,5;;
40-49 ans;50,7;52,9;54,8;50,0;53,7;53,6;54,9;49,9;53,7;55,9;57,5;53,5;58,5;56,5;52,5;50,2;53,3;56,5;;
50 ans ou plus;40,2;43,9;43,8;39,7;44,3;45,4;44,5;39,2;45,1;47,8;47,1;44,3;50,8;47,2;42,2;39,4;44,0;45,5;;
Ancienneté au chômage avant l'entrée en formation;;;;;;;;;;;;;;;;;;;;
Autres demandeurs d'emploi;56,4;58,0;59,3;55,8;58,0;58,7;59,6;55,2;57,7;60,1;60,7;57,0;61,4;61,8;59,3;56,4;58,6;61,4;;
Demandeurs d'emploi de longue durée (*);41,7;44,2;44,2;38,6;44,0;45,6;43,8;38,6;43,7;47,1;47,2;44,0;48,3;43,9;39,0;36,0;40,3;45,5;;
Niveau de formation;;;;;;;;;;;;;;;;;;;;
Qualifié ;57,0;58,7;60,1;55,8;58,2;59,0;60,4;55,2;57,8;60,4;61,4;56,7;61,2;60,9;58,9;55,0;58,0;61,5;;
Non qualifié ;47,4;49,2;48,6;45,0;49,2;51,1;47,3;44,3;49,1;52,2;49,8;49,4;53,8;52,7;46,1;45,2;49,0;52,1;;
Type de formation;;;;;;;;;;;;;;;;;;;;
AFPR;79,7;79,1;78,7;79,7;80,0;78,6;79,0;80,2;81,5;83,2;80,3;80,9;82,9;82,0;78,9;81,7;84,6;85,0;;
POE individuelle;80,5;83,8;80,8;82,2;81,9;82,0;80,8;82,4;84,3;85,8;84,4;84,7;86,5;87,3;86,5;86,8;87,8;88,3;;
AIF;55,3;54,1;53,2;50,4;53,8;52,7;52,1;51,6;55,4;55,8;54,4;56,0;59,6;57,2;52,9;52,4;54,0;54,4;;
AFC;43,4;45,9;48,9;42,1;45,8;47,2;45,1;41,5;44,9;50,2;48,8;45,3;49,4;48,1;43,0;41,6;46,6;50,4;;
Autres formations;51,1;54,6;56,3;51,3;52,9;55,8;58,2;49,8;53,0;57,3;58,5;48,7;53,9;58,3;58,2;50,0;53,9;59,1;;
